track_id,name,artist_name,album_name,genre,energy,valence,tempo,instrumentalness
track_000001,Sample Track 1,Artist 18,Album 77,ambient,0.9160635007787318,0.8122367284272155,126.55646352537133,0.3902489406547024
track_000002,Sample Track 2,Artist 88,Album 73,folk,0.8986554332664689,0.6471529534759083,147.57277033583847,0.1483192096930325
track_000003,Sample Track 3,Artist 37,Album 92,folk,0.9074627871849992,0.738590117659926,134.40708458530185,0.22183391480633394
track_000004,Sample Track 4,Artist 129,Album 88,indie rock,0.9086314812782197,0.7931826757453988,165.72717666503706,0.14181038725194736
track_000005,Sample Track 5,Artist 14,Album 97,electronic,0.8968120392977028,0.6664452252770706,148.53653921989502,0.01752150631489151
track_000006,Sample Track 6,Artist 178,Album 55,pop,0.873931748778189,0.825981025213267,178.0830742136184,0.1303301432552608
track_000007,Sample Track 7,Artist 181,Album 37,indie rock,0.7554731261802285,0.6476772365472868,149.0665906473301,0.09076373962035365
track_000008,Sample Track 8,Artist 94,Album 56,ambient,0.8149164605293593,0.8514766768567729,162.3156410181327,0.12494665655281643
track_000009,Sample Track 9,Artist 153,Album 83,electronic,0.8029948109672418,0.6936151501397708,161.26723473452356,0.05590099344372393
track_000010,Sample Track 10,Artist 161,Album 83,pop,0.7117669447402413,0.8382080694756201,160.2262005389299,0.28206615145053404
track_000011,Sample Track 11,Artist 56,Album 78,soul,0.8464978870286944,0.6505411294570207,127.75727433862244,0.2673611847161887
track_000012,Sample Track 12,Artist 92,Album 65,electronic,0.8456566655554852,0.8318496686506475,158.44838088003485,0.22143176026319833
track_000013,Sample Track 13,Artist 19,Album 56,folk,0.7173962802963054,0.7366480428773851,133.66049569635223,0.16341145748985447
track_000014,Sample Track 14,Artist 61,Album 99,hip hop,0.7661454766076817,0.6269077950898291,137.60164962929778,0.11743750310667345
track_000015,Sample Track 15,Artist 87,Album 66,pop,0.8981355701855392,0.8026509266949424,144.97682482496415,0.3256081538664139
track_000016,Sample Track 16,Artist 111,Album 32,pop,0.7154508975521264,0.6361138796249362,163.61920168519057,0.18475089210055495
track_000017,Sample Track 17,Artist 143,Album 16,r&b,0.7465549046511604,0.8119329087725434,147.32322025886782,0.152408490438593
track_000018,Sample Track 18,Artist 100,Album 24,classical,0.8612678223485332,0.7149256570604833,126.17134523964995,0.04720236084820613
track_000019,Sample Track 19,Artist 68,Album 96,classical,0.8779297121145798,0.6871022888232606,178.1814062635157,0.3115003615863179
track_000020,Sample Track 20,Artist 181,Album 26,folk,0.8178467605145092,0.6889500529350961,126.68706676705646,0.3610409586175367
track_000021,Sample Track 21,Artist 26,Album 46,folk,0.7834295897961565,0.7779736749931498,131.42959419341466,0.34264571363695023
track_000022,Sample Track 22,Artist 41,Album 2,folk,0.8826711094282248,0.73530698153478,158.01122160144413,0.23363918756509425
track_000023,Sample Track 23,Artist 19,Album 65,ambient,0.8097937765209463,0.6220681104199488,150.1454583354266,0.13194448493311414
track_000024,Sample Track 24,Artist 17,Album 66,pop,0.7348167122534124,0.7804169259315366,131.06498514367627,0.3700480473507189
track_000025,Sample Track 25,Artist 197,Album 58,electronic,0.85181971795554,0.6166131225986122,177.55499358124527,0.1929213747771601
track_000026,Sample Track 26,Artist 70,Album 47,folk,0.7298551999813853,0.7511309159430665,149.95171266691673,0.37513058198999316
track_000027,Sample Track 27,Artist 33,Album 57,soul,0.7740741591420545,0.7061550092293402,151.71967174582073,0.1755645841220187
track_000028,Sample Track 28,Artist 95,Album 29,indie rock,0.9083100618066459,0.8698866238335323,129.27469625091803,0.22161445741561978
track_000029,Sample Track 29,Artist 63,Album 11,ambient,0.7774961081213619,0.8012325640606516,163.89268224292607,0.30745899676706284
track_000030,Sample Track 30,Artist 134,Album 32,pop,0.9298428428330259,0.6767620573595154,123.20734081439461,0.22194098775659335
track_000031,Sample Track 31,Artist 109,Album 37,classical,0.9039803532954324,0.7019702789185874,177.22106430911495,0.11636713525604746
